Food code,Start date,End date,Seq num,SR code,SR description,Amount,Measure,Portion code,Retention code,Flag,Weight
11114350,01-Jan-13,31-Dec-14,1,1077,"Milk, whole, 3.25% milkfat, with added vitamin D",100,GM,0,0,0,100
11115000,01-Jan-13,31-Dec-14,1,1088,"Milk, buttermilk, fluid, cultured, lowfat",100,GM,0,0,0,100
11115100,01-Jan-13,31-Dec-14,1,1088,"Milk, buttermilk, fluid, cultured, lowfat",100,GM,0,0,0,100
11115200,01-Jan-13,31-Dec-14,1,42189,"Milk, buttermilk, fluid, cultured, reduced fat",100,GM,0,0,0,100
11115300,01-Jan-13,31-Dec-14,1,1230,"Milk, buttermilk, fluid, whole",100,GM,0,0,0,100
11115400,01-Jan-13,31-Dec-14,1,1289,"Kefir, lowfat, plain, LIFEWAY",50,GM,0,0,0,50
11115400,01-Jan-13,31-Dec-14,2,1290,"Kefir, lowfat, strawberry, LIFEWAY",50,GM,0,0,0,50
11116000,01-Jan-13,31-Dec-14,1,1106,"Milk, goat, fluid, with added vitamin D",100,GM,0,0,0,100
11120000,01-Jan-13,31-Dec-14,1,1092,"Milk, dry, nonfat, instant, with added vitamin A and vitamin D",1,,62419,0,0,23
11120000,01-Jan-13,31-Dec-14,2,14411,"Beverages, water, tap, drinking",1,C,10205,0,0,237
11121100,01-Jan-13,31-Dec-14,1,1090,"Milk, dry, whole, with added vitamin D",0.3333,C,10205,0,3,42.662
11121100,01-Jan-13,31-Dec-14,2,14411,"Beverages, water, tap, drinking",1,C,10205,0,0,237
11121210,01-Jan-13,31-Dec-14,1,1092,"Milk, dry, nonfat, instant, with added vitamin A and vitamin D",1,,62419,0,0,23
11121210,01-Jan-13,31-Dec-14,2,14411,"Beverages, water, tap, drinking",1,C,10205,0,0,237
