Food code,Start date,End date,Moisture change,Fat change,Type of fat
11000000,1/1/2011,12/31/2012,0,0,0
11100000,1/1/2011,12/31/2012,0,0,0
11111000,1/1/2011,12/31/2012,0,0,0
11111100,1/1/2011,12/31/2012,0,0,0
11111150,1/1/2011,12/31/2012,0,0,0
11111160,1/1/2011,12/31/2012,0,0,0
11111170,1/1/2011,12/31/2012,0,0,0
11112110,1/1/2011,12/31/2012,0,0,0
11112120,1/1/2011,12/31/2012,0,0,0
11112130,1/1/2011,12/31/2012,0,0,0
11112210,1/1/2011,12/31/2012,0,0,0
11113000,1/1/2011,12/31/2012,0,0,0
11114300,1/1/2011,12/31/2012,0,0,0
11114310,1/1/2011,12/31/2012,0,0,0
11114320,1/1/2011,12/31/2012,0,0,0
11114321,1/1/2011,12/31/2012,0,0,0
11114330,1/1/2011,12/31/2012,0,0,0
11114350,1/1/2011,12/31/2012,0,0,0
11115000,1/1/2011,12/31/2012,0,0,0
11115100,1/1/2011,12/31/2012,0,0,0
11115200,1/1/2011,12/31/2012,0,0,0
11115300,1/1/2011,12/31/2012,0,0,0
11116000,1/1/2011,12/31/2012,0,0,0
11120000,1/1/2011,12/31/2012,0,0,0
11121100,1/1/2011,12/31/2012,0,0,0
11121210,1/1/2011,12/31/2012,0,0,0
11121300,1/1/2011,12/31/2012,0,0,0
11210050,1/1/2011,12/31/2012,0,0,0
11211050,1/1/2011,12/31/2012,0,0,0
11211400,1/1/2011,12/31/2012,0,0,0
11212050,1/1/2011,12/31/2012,0,0,0
11220000,1/1/2011,12/31/2012,0,0,0
11320000,1/1/2011,12/31/2012,0,0,0
11320100,1/1/2011,12/31/2012,0,0,0
11320200,1/1/2011,12/31/2012,0,0,0
11321000,1/1/2011,12/31/2012,0,0,0
11321100,1/1/2011,12/31/2012,0,0,0
11321200,1/1/2011,12/31/2012,0,0,0
11340000,1/1/2011,12/31/2012,0,0,0
11350000,1/1/2011,12/31/2012,0,0,0
11350010,1/1/2011,12/31/2012,0,0,0
11410000,1/1/2011,12/31/2012,0,0,0
11411010,1/1/2011,12/31/2012,0,0,0
11411100,1/1/2011,12/31/2012,0,0,0
11411200,1/1/2011,12/31/2012,0,0,0
11411300,1/1/2011,12/31/2012,0,0,0
11420000,1/1/2011,12/31/2012,0,0,0
11421000,1/1/2011,12/31/2012,0,0,0
11422000,1/1/2011,12/31/2012,0,0,0
11422100,1/1/2011,12/31/2012,0,0,0
11423000,1/1/2011,12/31/2012,0,0,0
11424000,1/1/2011,12/31/2012,0,0,0
11425000,1/1/2011,12/31/2012,0,0,0
11426000,1/1/2011,12/31/2012,0,0,0
11427000,1/1/2011,12/31/2012,0,0,0
11430000,1/1/2011,12/31/2012,0,0,0
11431000,1/1/2011,12/31/2012,0,0,0
11432000,1/1/2011,12/31/2012,0,0,0
11432500,1/1/2011,12/31/2012,0,0,0
11433000,1/1/2011,12/31/2012,0,0,0
11433500,1/1/2011,12/31/2012,0,0,0
11446000,1/1/2011,12/31/2012,0,0,0
11459990,1/1/2011,12/31/2012,0,0,0
11460000,1/1/2011,12/31/2012,0,0,0
11460100,1/1/2011,12/31/2012,0,0,0
11460150,1/1/2011,12/31/2012,0,0,0
11460160,1/1/2011,12/31/2012,0,0,0
11460170,1/1/2011,12/31/2012,0,0,0
11460190,1/1/2011,12/31/2012,0,0,0
11460200,1/1/2011,12/31/2012,0,0,0
11460250,1/1/2011,12/31/2012,0,0,0
11460300,1/1/2011,12/31/2012,0,0,0
11460400,1/1/2011,12/31/2012,0,0,0
11460410,1/1/2011,12/31/2012,0,0,0
11460420,1/1/2011,12/31/2012,0,0,0
11460430,1/1/2011,12/31/2012,0,0,0
11460440,1/1/2011,12/31/2012,0,0,0
11461000,1/1/2011,12/31/2012,0,0,0
11461200,1/1/2011,12/31/2012,0,0,0
11461250,1/1/2011,12/31/2012,0,0,0
11461260,1/1/2011,12/31/2012,0,0,0
11461270,1/1/2011,12/31/2012,0,0,0
11461280,1/1/2011,12/31/2012,0,0,0
11480010,1/1/2011,12/31/2012,0,0,0
11480020,1/1/2011,12/31/2012,0,0,0
11480030,1/1/2011,12/31/2012,0,0,0
11480040,1/1/2011,12/31/2012,0,0,0
11511000,1/1/2011,12/31/2012,0,0,0
11511100,1/1/2011,12/31/2012,0,0,0
11511200,1/1/2011,12/31/2012,0,0,0
11511300,1/1/2011,12/31/2012,0,0,0
11511400,1/1/2011,12/31/2012,0,0,0
11512000,1/1/2011,12/31/2012,0,0,0
11512500,1/1/2011,12/31/2012,-13,0,0
11512510,1/1/2011,12/31/2012,-13,0,0
11513000,1/1/2011,12/31/2012,0,0,0
11513100,1/1/2011,12/31/2012,0,0,0
11513150,1/1/2011,12/31/2012,0,0,0
11513200,1/1/2011,12/31/2012,0,0,0
11513300,1/1/2011,12/31/2012,0,0,0
11513350,1/1/2011,12/31/2012,0,0,0
11513355,1/1/2011,12/31/2012,0,0,0
11513360,1/1/2011,12/31/2012,0,0,0
11513365,1/1/2011,12/31/2012,0,0,0
11513370,1/1/2011,12/31/2012,0,0,0
11513400,1/1/2011,12/31/2012,0,0,0
11513500,1/1/2011,12/31/2012,0,0,0
11513550,1/1/2011,12/31/2012,0,0,0
11513600,1/1/2011,12/31/2012,0,0,0
11513700,1/1/2011,12/31/2012,0,0,0
11514100,1/1/2011,12/31/2012,0,0,0
11514300,1/1/2011,12/31/2012,0,0,0
11514500,1/1/2011,12/31/2012,0,0,0
11515100,1/1/2011,12/31/2012,0,0,0
11516000,1/1/2011,12/31/2012,0,0,0
11518050,1/1/2011,12/31/2012,0,0,0
11519000,1/1/2011,12/31/2012,0,0,0
11519040,1/1/2011,12/31/2012,0,0,0
11519050,1/1/2011,12/31/2012,0,0,0
11519105,1/1/2011,12/31/2012,0,0,0
11519200,1/1/2011,12/31/2012,0,0,0
11519205,1/1/2011,12/31/2012,0,0,0
11520000,1/1/2011,12/31/2012,0,0,0
11521000,1/1/2011,12/31/2012,0,0,0
11522000,1/1/2011,12/31/2012,0,0,0
11525000,1/1/2011,12/31/2012,0,0,0
11526000,1/1/2011,12/31/2012,0,0,0
11527000,1/1/2011,12/31/2012,0,0,0
11531000,1/1/2011,12/31/2012,0,0,0
11531500,1/1/2011,12/31/2012,0,0,0
11541000,1/1/2011,12/31/2012,0,0,0
11541100,1/1/2011,12/31/2012,0,0,0
11541110,1/1/2011,12/31/2012,0,0,0
11541120,1/1/2011,12/31/2012,0,0,0
11541400,1/1/2011,12/31/2012,0,0,0
11541500,1/1/2011,12/31/2012,0,0,0
11541510,1/1/2011,12/31/2012,0,0,0
11542000,1/1/2011,12/31/2012,0,0,0
11542100,1/1/2011,12/31/2012,0,0,0
11542200,1/1/2011,12/31/2012,0,0,0
11551050,1/1/2011,12/31/2012,0,0,0
11552200,1/1/2011,12/31/2012,0,0,0
11553000,1/1/2011,12/31/2012,0,0,0
11553100,1/1/2011,12/31/2012,0,0,0
11560000,1/1/2011,12/31/2012,0,0,0
11560020,1/1/2011,12/31/2012,0,0,0
11561000,1/1/2011,12/31/2012,0,0,0
11561010,1/1/2011,12/31/2012,0,0,0
11710000,1/1/2011,12/31/2012,0,0,0
11710050,1/1/2011,12/31/2012,0,0,0
11710051,1/1/2011,12/31/2012,0,0,0
11710053,1/1/2011,12/31/2012,0,0,0
11710054,1/1/2011,12/31/2012,0,0,0
11710055,1/1/2011,12/31/2012,0,0,0
11710056,1/1/2011,12/31/2012,0,0,0
11710350,1/1/2011,12/31/2012,0,0,0
11710351,1/1/2011,12/31/2012,0,0,0
11710352,1/1/2011,12/31/2012,0,0,0
11710353,1/1/2011,12/31/2012,0,0,0
11710354,1/1/2011,12/31/2012,0,0,0
11710355,1/1/2011,12/31/2012,0,0,0
11710356,1/1/2011,12/31/2012,0,0,0
11710357,1/1/2011,12/31/2012,0,0,0
11710358,1/1/2011,12/31/2012,0,0,0
11710359,1/1/2011,12/31/2012,0,0,0
11710360,1/1/2011,12/31/2012,0,0,0
11710361,1/1/2011,12/31/2012,0,0,0
11710363,1/1/2011,12/31/2012,0,0,0
11710367,1/1/2011,12/31/2012,0,0,0
11710368,1/1/2011,12/31/2012,0,0,0
11710369,1/1/2011,12/31/2012,0,0,0
11710370,1/1/2011,12/31/2012,0,0,0
11710371,1/1/2011,12/31/2012,0,0,0
11710372,1/1/2011,12/31/2012,0,0,0
11710373,1/1/2011,12/31/2012,0,0,0
11710374,1/1/2011,12/31/2012,0,0,0
11710375,1/1/2011,12/31/2012,0,0,0
11710376,1/1/2011,12/31/2012,0,0,0
11710377,1/1/2011,12/31/2012,0,0,0
11710378,1/1/2011,12/31/2012,0,0,0
11710379,1/1/2011,12/31/2012,0,0,0
11710380,1/1/2011,12/31/2012,0,0,0
11710381,1/1/2011,12/31/2012,0,0,0
11710383,1/1/2011,12/31/2012,0,0,0
11710387,1/1/2011,12/31/2012,0,0,0
11710388,1/1/2011,12/31/2012,0,0,0
11710389,1/1/2011,12/31/2012,0,0,0
11710470,1/1/2011,12/31/2012,0,0,0
11710471,1/1/2011,12/31/2012,0,0,0
11710473,1/1/2011,12/31/2012,0,0,0
11710477,1/1/2011,12/31/2012,0,0,0
11710478,1/1/2011,12/31/2012,0,0,0
11710479,1/1/2011,12/31/2012,0,0,0
11710480,1/1/2011,12/31/2012,0,0,0
11710481,1/1/2011,12/31/2012,0,0,0
11710482,1/1/2011,12/31/2012,0,0,0
11710483,1/1/2011,12/31/2012,0,0,0
11710484,1/1/2011,12/31/2012,0,0,0
11710620,1/1/2011,12/31/2012,0,0,0
11710621,1/1/2011,12/31/2012,0,0,0
11710626,1/1/2011,12/31/2012,0,0,0
11710627,1/1/2011,12/31/2012,0,0,0
11710628,1/1/2011,12/31/2012,0,0,0
11710629,1/1/2011,12/31/2012,0,0,0
11710630,1/1/2011,12/31/2012,0,0,0
11710631,1/1/2011,12/31/2012,0,0,0
11710632,1/1/2011,12/31/2012,0,0,0
11710633,1/1/2011,12/31/2012,0,0,0
11710634,1/1/2011,12/31/2012,0,0,0
11710635,1/1/2011,12/31/2012,0,0,0
11710636,1/1/2011,12/31/2012,0,0,0
11710637,1/1/2011,12/31/2012,0,0,0
11710638,1/1/2011,12/31/2012,0,0,0
11710639,1/1/2011,12/31/2012,0,0,0
11710640,1/1/2011,12/31/2012,0,0,0
11710642,1/1/2011,12/31/2012,0,0,0
11710643,1/1/2011,12/31/2012,0,0,0
11710644,1/1/2011,12/31/2012,0,0,0
11710645,1/1/2011,12/31/2012,0,0,0
11710646,1/1/2011,12/31/2012,0,0,0
11710647,1/1/2011,12/31/2012,0,0,0
11710648,1/1/2011,12/31/2012,0,0,0
11710649,1/1/2011,12/31/2012,0,0,0
11710650,1/1/2011,12/31/2012,0,0,0
11710651,1/1/2011,12/31/2012,0,0,0
11710652,1/1/2011,12/31/2012,0,0,0
11710653,1/1/2011,12/31/2012,0,0,0
11710654,1/1/2011,12/31/2012,0,0,0
11710655,1/1/2011,12/31/2012,0,0,0
11710656,1/1/2011,12/31/2012,0,0,0
11710657,1/1/2011,12/31/2012,0,0,0
11710658,1/1/2011,12/31/2012,0,0,0
11710659,1/1/2011,12/31/2012,0,0,0
11710660,1/1/2011,12/31/2012,0,0,0
11710661,1/1/2011,12/31/2012,0,0,0
11710663,1/1/2011,12/31/2012,0,0,0
11710664,1/1/2011,12/31/2012,0,0,0
11710665,1/1/2011,12/31/2012,0,0,0
11710666,1/1/2011,12/31/2012,0,0,0
11710667,1/1/2011,12/31/2012,0,0,0
11710668,1/1/2011,12/31/2012,0,0,0
11710669,1/1/2011,12/31/2012,0,0,0
11710670,1/1/2011,12/31/2012,0,0,0
11710671,1/1/2011,12/31/2012,0,0,0
11710673,1/1/2011,12/31/2012,0,0,0
11710674,1/1/2011,12/31/2012,0,0,0
11710675,1/1/2011,12/31/2012,0,0,0
11710676,1/1/2011,12/31/2012,0,0,0
11710677,1/1/2011,12/31/2012,0,0,0
11710678,1/1/2011,12/31/2012,0,0,0
11710679,1/1/2011,12/31/2012,0,0,0
11710680,1/1/2011,12/31/2012,0,0,0
11710681,1/1/2011,12/31/2012,0,0,0
11710683,1/1/2011,12/31/2012,0,0,0
11710687,1/1/2011,12/31/2012,0,0,0
11710688,1/1/2011,12/31/2012,0,0,0
11710689,1/1/2011,12/31/2012,0,0,0
11710690,1/1/2011,12/31/2012,0,0,0
11710693,1/1/2011,12/31/2012,0,0,0
11710697,1/1/2011,12/31/2012,0,0,0
11710698,1/1/2011,12/31/2012,0,0,0
11710699,1/1/2011,12/31/2012,0,0,0
11710800,1/1/2011,12/31/2012,0,0,0
11710801,1/1/2011,12/31/2012,0,0,0
11710805,1/1/2011,12/31/2012,0,0,0
11710806,1/1/2011,12/31/2012,0,0,0
11710910,1/1/2011,12/31/2012,0,0,0
11710911,1/1/2011,12/31/2012,0,0,0
11710912,1/1/2011,12/31/2012,0,0,0
11710913,1/1/2011,12/31/2012,0,0,0
11710914,1/1/2011,12/31/2012,0,0,0
11710915,1/1/2011,12/31/2012,0,0,0
11710916,1/1/2011,12/31/2012,0,0,0
11710917,1/1/2011,12/31/2012,0,0,0
11710918,1/1/2011,12/31/2012,0,0,0
11710919,1/1/2011,12/31/2012,0,0,0
11710920,1/1/2011,12/31/2012,0,0,0
11710923,1/1/2011,12/31/2012,0,0,0
11710927,1/1/2011,12/31/2012,0,0,0
11710928,1/1/2011,12/31/2012,0,0,0
11710929,1/1/2011,12/31/2012,0,0,0
11710930,1/1/2011,12/31/2012,0,0,0
11710933,1/1/2011,12/31/2012,0,0,0
11710937,1/1/2011,12/31/2012,0,0,0
11710938,1/1/2011,12/31/2012,0,0,0
11710939,1/1/2011,12/31/2012,0,0,0
11710940,1/1/2011,12/31/2012,0,0,0
11710943,1/1/2011,12/31/2012,0,0,0
11710947,1/1/2011,12/31/2012,0,0,0
11710948,1/1/2011,12/31/2012,0,0,0
11710949,1/1/2011,12/31/2012,0,0,0
11710960,1/1/2011,12/31/2012,0,0,0
11710961,1/1/2011,12/31/2012,0,0,0
11710962,1/1/2011,12/31/2012,0,0,0
11710963,1/1/2011,12/31/2012,0,0,0
11710964,1/1/2011,12/31/2012,0,0,0
11710965,1/1/2011,12/31/2012,0,0,0
11710966,1/1/2011,12/31/2012,0,0,0
11710967,1/1/2011,12/31/2012,0,0,0
11710968,1/1/2011,12/31/2012,0,0,0
11710969,1/1/2011,12/31/2012,0,0,0
11720310,1/1/2011,12/31/2012,0,0,0
11720311,1/1/2011,12/31/2012,0,0,0
11720312,1/1/2011,12/31/2012,0,0,0
11720313,1/1/2011,12/31/2012,0,0,0
11720314,1/1/2011,12/31/2012,0,0,0
11720315,1/1/2011,12/31/2012,0,0,0
11720316,1/1/2011,12/31/2012,0,0,0
11720317,1/1/2011,12/31/2012,0,0,0
11720318,1/1/2011,12/31/2012,0,0,0
11720319,1/1/2011,12/31/2012,0,0,0
11720320,1/1/2011,12/31/2012,0,0,0
11720323,1/1/2011,12/31/2012,0,0,0
11720327,1/1/2011,12/31/2012,0,0,0
11720328,1/1/2011,12/31/2012,0,0,0
11720329,1/1/2011,12/31/2012,0,0,0
11720410,1/1/2011,12/31/2012,0,0,0
11720411,1/1/2011,12/31/2012,0,0,0
11720412,1/1/2011,12/31/2012,0,0,0
11720413,1/1/2011,12/31/2012,0,0,0
11720414,1/1/2011,12/31/2012,0,0,0
11720415,1/1/2011,12/31/2012,0,0,0
11720416,1/1/2011,12/31/2012,0,0,0
11720417,1/1/2011,12/31/2012,0,0,0
11720418,1/1/2011,12/31/2012,0,0,0
11720419,1/1/2011,12/31/2012,0,0,0
11720430,1/1/2011,12/31/2012,0,0,0
11720431,1/1/2011,12/31/2012,0,0,0
11720440,1/1/2011,12/31/2012,0,0,0
11720443,1/1/2011,12/31/2012,0,0,0
11720447,1/1/2011,12/31/2012,0,0,0
11720448,1/1/2011,12/31/2012,0,0,0
11720449,1/1/2011,12/31/2012,0,0,0
11720610,1/1/2011,12/31/2012,0,0,0
11720611,1/1/2011,12/31/2012,0,0,0
11720612,1/1/2011,12/31/2012,0,0,0
11720613,1/1/2011,12/31/2012,0,0,0
11720614,1/1/2011,12/31/2012,0,0,0
11720615,1/1/2011,12/31/2012,0,0,0
11720616,1/1/2011,12/31/2012,0,0,0
11720617,1/1/2011,12/31/2012,0,0,0
11720618,1/1/2011,12/31/2012,0,0,0
11720619,1/1/2011,12/31/2012,0,0,0
11720620,1/1/2011,12/31/2012,0,0,0
11720623,1/1/2011,12/31/2012,0,0,0
11720627,1/1/2011,12/31/2012,0,0,0
11720628,1/1/2011,12/31/2012,0,0,0
11720629,1/1/2011,12/31/2012,0,0,0
11720800,1/1/2011,12/31/2012,0,0,0
11720801,1/1/2011,12/31/2012,0,0,0
11720802,1/1/2011,12/31/2012,0,0,0
11720803,1/1/2011,12/31/2012,0,0,0
11720804,1/1/2011,12/31/2012,0,0,0
11720805,1/1/2011,12/31/2012,0,0,0
11720806,1/1/2011,12/31/2012,0,0,0
11720807,1/1/2011,12/31/2012,0,0,0
11720808,1/1/2011,12/31/2012,0,0,0
11720809,1/1/2011,12/31/2012,0,0,0
11740310,1/1/2011,12/31/2012,0,0,0
11740311,1/1/2011,12/31/2012,0,0,0
11740312,1/1/2011,12/31/2012,0,0,0
11740313,1/1/2011,12/31/2012,0,0,0
11740314,1/1/2011,12/31/2012,0,0,0
11740315,1/1/2011,12/31/2012,0,0,0
11740316,1/1/2011,12/31/2012,0,0,0
11740317,1/1/2011,12/31/2012,0,0,0
11740318,1/1/2011,12/31/2012,0,0,0
11740319,1/1/2011,12/31/2012,0,0,0
11740320,1/1/2011,12/31/2012,0,0,0
11740323,1/1/2011,12/31/2012,0,0,0
11740327,1/1/2011,12/31/2012,0,0,0
11740328,1/1/2011,12/31/2012,0,0,0
11740329,1/1/2011,12/31/2012,0,0,0
11740400,1/1/2011,12/31/2012,0,0,0
11740401,1/1/2011,12/31/2012,0,0,0
11740403,1/1/2011,12/31/2012,0,0,0
11740407,1/1/2011,12/31/2012,0,0,0
11740408,1/1/2011,12/31/2012,0,0,0
11740409,1/1/2011,12/31/2012,0,0,0
11740510,1/1/2011,12/31/2012,0,0,0
11740511,1/1/2011,12/31/2012,0,0,0
11740520,1/1/2011,12/31/2012,0,0,0
11740521,1/1/2011,12/31/2012,0,0,0
11740540,1/1/2011,12/31/2012,0,0,0
11740541,1/1/2011,12/31/2012,0,0,0
11740550,1/1/2011,12/31/2012,0,0,0
11740551,1/1/2011,12/31/2012,0,0,0
11810000,1/1/2011,12/31/2012,0,0,0
11811000,1/1/2011,12/31/2012,0,0,0
11812000,1/1/2011,12/31/2012,0,0,0
11813000,1/1/2011,12/31/2012,0,0,0
11825000,1/1/2011,12/31/2012,0,0,0
11830100,1/1/2011,12/31/2012,0,0,0
11830110,1/1/2011,12/31/2012,0,0,0
11830120,1/1/2011,12/31/2012,0,0,0
11830140,1/1/2011,12/31/2012,0,0,0
11830150,1/1/2011,12/31/2012,0,0,0
11830160,1/1/2011,12/31/2012,0,0,0
11830165,1/1/2011,12/31/2012,0,0,0
11830170,1/1/2011,12/31/2012,0,0,0
11830200,1/1/2011,12/31/2012,0,0,0
11830210,1/1/2011,12/31/2012,0,0,0
11830250,1/1/2011,12/31/2012,0,0,0
11830260,1/1/2011,12/31/2012,0,0,0
11830400,1/1/2011,12/31/2012,0,0,0
11830450,1/1/2011,12/31/2012,0,0,0
11830500,1/1/2011,12/31/2012,0,0,0
11830550,1/1/2011,12/31/2012,0,0,0
12100100,1/1/2011,12/31/2012,0,0,0
12110100,1/1/2011,12/31/2012,0,0,0
12110300,1/1/2011,12/31/2012,0,0,0
12120100,1/1/2011,12/31/2012,0,0,0
12120105,1/1/2011,12/31/2012,0,0,0
12120110,1/1/2011,12/31/2012,0,0,0
12130100,1/1/2011,12/31/2012,0,0,0
12130200,1/1/2011,12/31/2012,0,0,0
12140000,1/1/2011,12/31/2012,0,0,0
12140100,1/1/2011,12/31/2012,0,0,0
12140105,1/1/2011,12/31/2012,0,0,0
12140110,1/1/2011,12/31/2012,0,0,0
12200100,1/1/2011,12/31/2012,0,0,0
12210100,1/1/2011,12/31/2012,0,0,0
12210200,1/1/2011,12/31/2012,0,0,0
12210210,1/1/2011,12/31/2012,0,0,0
12210250,1/1/2011,12/31/2012,0,0,0
12210255,1/1/2011,12/31/2012,0,0,0
12210260,1/1/2011,12/31/2012,0,0,0
12210270,1/1/2011,12/31/2012,0,0,0
12210305,1/1/2011,12/31/2012,0,0,0
12210310,1/1/2011,12/31/2012,0,0,0
12210400,1/1/2011,12/31/2012,0,0,0
12210410,1/1/2011,12/31/2012,0,0,0
12210420,1/1/2011,12/31/2012,0,0,0
12210430,1/1/2011,12/31/2012,0,0,0
12210440,1/1/2011,12/31/2012,0,0,0
12210500,1/1/2011,12/31/2012,0,0,0
12210505,1/1/2011,12/31/2012,0,0,0
12220000,1/1/2011,12/31/2012,0,0,0
12220100,1/1/2011,12/31/2012,0,0,0
12220200,1/1/2011,12/31/2012,0,0,0
12220250,1/1/2011,12/31/2012,0,0,0
12220270,1/1/2011,12/31/2012,0,0,0
12220280,1/1/2011,12/31/2012,0,0,0
12220300,1/1/2011,12/31/2012,0,0,0
12220400,1/1/2011,12/31/2012,0,0,0
12310100,1/1/2011,12/31/2012,0,0,0
12310200,1/1/2011,12/31/2012,0,0,0
12310300,1/1/2011,12/31/2012,0,0,0
12310350,1/1/2011,12/31/2012,0,0,0
12310370,1/1/2011,12/31/2012,0,0,0
12320100,1/1/2011,12/31/2012,0,0,0
12320200,1/1/2011,12/31/2012,0,0,0
12350000,1/1/2011,12/31/2012,0,0,0
12350020,1/1/2011,12/31/2012,0,0,0
12350100,1/1/2011,12/31/2012,0,0,0
12350110,1/1/2011,12/31/2012,0,0,0
13110000,1/1/2011,12/31/2012,0,0,0
13110100,1/1/2011,12/31/2012,0,0,0
13110110,1/1/2011,12/31/2012,0,0,0
13110120,1/1/2011,12/31/2012,0,0,0
13110130,1/1/2011,12/31/2012,0,0,0
13110140,1/1/2011,12/31/2012,0,0,0
13110200,1/1/2011,12/31/2012,0,0,0
13110210,1/1/2011,12/31/2012,0,0,0
13110220,1/1/2011,12/31/2012,0,0,0
13110310,1/1/2011,12/31/2012,0,0,0
13110320,1/1/2011,12/31/2012,0,0,0
13110330,1/1/2011,12/31/2012,0,0,0
13120050,1/1/2011,12/31/2012,0,0,0
13120100,1/1/2011,12/31/2012,0,0,0
13120110,1/1/2011,12/31/2012,0,0,0
13120120,1/1/2011,12/31/2012,0,0,0
13120121,1/1/2011,12/31/2012,0,0,0
13120130,1/1/2011,12/31/2012,0,0,0
13120140,1/1/2011,12/31/2012,0,0,0
13120300,1/1/2011,12/31/2012,0,0,0
13120310,1/1/2011,12/31/2012,0,0,0
13120400,1/1/2011,12/31/2012,0,0,0
13120500,1/1/2011,12/31/2012,0,0,0
13120550,1/1/2011,12/31/2012,0,0,0
13120700,1/1/2011,12/31/2012,0,0,0
13120710,1/1/2011,12/31/2012,0,0,0
13120720,1/1/2011,12/31/2012,0,0,0
13120730,1/1/2011,12/31/2012,0,0,0
13120740,1/1/2011,12/31/2012,0,0,0
13120750,1/1/2011,12/31/2012,0,0,0
13120760,1/1/2011,12/31/2012,0,0,0
13120770,1/1/2011,12/31/2012,0,0,0
13120780,1/1/2011,12/31/2012,0,0,0
13120790,1/1/2011,12/31/2012,0,0,0
13120800,1/1/2011,12/31/2012,0,0,0
13120810,1/1/2011,12/31/2012,0,0,0
13121000,1/1/2011,12/31/2012,0,0,0
13121100,1/1/2011,12/31/2012,0,0,0
13121200,1/1/2011,12/31/2012,0,0,0
13121300,1/1/2011,12/31/2012,0,0,0
13121400,1/1/2011,12/31/2012,0,0,0
13121500,1/1/2011,12/31/2012,-2,0,0
13122100,1/1/2011,12/31/2012,0,0,0
13122500,1/1/2011,12/31/2012,0,0,0
13126000,1/1/2011,12/31/2012,0,5,4615
13127000,1/1/2011,12/31/2012,0,0,0
13127010,1/1/2011,12/31/2012,0,0,0
13130100,1/1/2011,12/31/2012,0,0,0
13130300,1/1/2011,12/31/2012,0,0,0
13130310,1/1/2011,12/31/2012,0,0,0
13130320,1/1/2011,12/31/2012,0,0,0
13130330,1/1/2011,12/31/2012,0,0,0
13130340,1/1/2011,12/31/2012,0,0,0
13130590,1/1/2011,12/31/2012,0,0,0
13130600,1/1/2011,12/31/2012,0,0,0
13130610,1/1/2011,12/31/2012,0,0,0
13130620,1/1/2011,12/31/2012,0,0,0
13130630,1/1/2011,12/31/2012,0,0,0
13130640,1/1/2011,12/31/2012,0,0,0
13130700,1/1/2011,12/31/2012,0,0,0
13135000,1/1/2011,12/31/2012,0,0,0
13135010,1/1/2011,12/31/2012,0,0,0
13136000,1/1/2011,12/31/2012,0,0,0
13140100,1/1/2011,12/31/2012,0,0,0
13140110,1/1/2011,12/31/2012,0,0,0
13140450,1/1/2011,12/31/2012,0,0,0
13140500,1/1/2011,12/31/2012,0,0,0
13140550,1/1/2011,12/31/2012,0,0,0
13140570,1/1/2011,12/31/2012,0,0,0
13140575,1/1/2011,12/31/2012,0,0,0
13140580,1/1/2011,12/31/2012,0,0,0
13140600,1/1/2011,12/31/2012,0,0,0
13140630,1/1/2011,12/31/2012,0,0,0
13140650,1/1/2011,12/31/2012,0,0,0
13140660,1/1/2011,12/31/2012,0,0,0
13140670,1/1/2011,12/31/2012,0,0,0
13140680,1/1/2011,12/31/2012,0,0,0
13140700,1/1/2011,12/31/2012,0,0,0
13140710,1/1/2011,12/31/2012,0,0,0
13140900,1/1/2011,12/31/2012,0,0,0
